Vị trí,Hướng,Tiện ích,Cơ sở hạ tầng,Xu hướng,Diện tích,Giá
Thành phố,Đông,Đầy đủ,Thiếu,Đang xuống,161,1.593
Thành phố,Bắc,Thiếu,Đầu đủ,Ổn định,173,2.335
Nông thôn,Tây,Đầy đủ,Đầu đủ,Đang xuống,126,1.335
Nông thôn,Đông,Thiếu,Đầu đủ,Đang xuống,146,1.372
Nông thôn,Đông,Thiếu,Thiếu,Đang lên,172,1.702
Nông thôn,Bắc,Thiếu,Thiếu,Đang xuống,128,1.049
Thành phố,Nam,Đầy đủ,Đầu đủ,Đang lên,89,1.326
Nông thôn,Đông,Đầy đủ,Thiếu,Đang xuống,176,1.531
Thành phố,Bắc,Thiếu,Thiếu,Đang lên,189,2.324
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Đang lên,123,1.746
Nông thôn,Bắc,Đầy đủ,Đầu đủ,Đang lên,108,1.533
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Ổn định,107,1.391
Thành phố,Bắc,Đầy đủ,Thiếu,Ổn định,161,1.980
Thành phố,Bắc,Thiếu,Chưa hoàn thiện,Đang xuống,98,0.989
Nông thôn,Nam,Đầy đủ,Chưa hoàn thiện,Đang xuống,94,0.949
Thành phố,Đông,Đầy đủ,Đầu đủ,Đang lên,140,1.988
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Đang lên,182,2.675
Nông thôn,Tây,Đầy đủ,Đầu đủ,Đang xuống,108,1.144
Thành phố,Đông,Thiếu,Thiếu,Đang xuống,97,0.746
Nông thôn,Nam,Thiếu,Thiếu,Ổn định,139,1.306
Thành phố,Nam,Thiếu,Thiếu,Ổn định,105,1.113
Thành phố,Tây,Đầy đủ,Đầu đủ,Đang lên,102,1.448
Nông thôn,Bắc,Thiếu,Đầu đủ,Đang lên,168,2.268
Thành phố,Bắc,Đầy đủ,Đầu đủ,Ổn định,135,1.917
Nông thôn,Nam,Thiếu,Đầu đủ,Đang xuống,91,0.919
Thành phố,Tây,Thiếu,Đầu đủ,Ổn định,185,2.275
Nông thôn,Đông,Thiếu,Thiếu,Đang xuống,118,0.826
Nông thôn,Tây,Đầy đủ,Đầu đủ,Đang xuống,103,1.091
Nông thôn,Nam,Đầy đủ,Chưa hoàn thiện,Ổn định,77,0.870
Nông thôn,Tây,Đầy đủ,Chưa hoàn thiện,Đang xuống,196,1.940
Nông thôn,Đông,Thiếu,Đầu đủ,Ổn định,153,1.698
Nông thôn,Bắc,Đầy đủ,Thiếu,Đang xuống,195,1.930
Thành phố,Bắc,Thiếu,Chưa hoàn thiện,Đang xuống,160,1.776
Thành phố,Bắc,Thiếu,Đầu đủ,Ổn định,183,2.470
Nông thôn,Đông,Đầy đủ,Thiếu,Đang xuống,142,1.164
Nông thôn,Nam,Thiếu,Chưa hoàn thiện,Ổn định,80,0.808
Nông thôn,Bắc,Thiếu,Thiếu,Đang xuống,187,1.626
Nông thôn,Đông,Đầy đủ,Chưa hoàn thiện,Ổn định,121,1.2826
Nông thôn,Tây,Đầy đủ,Thiếu,Đang xuống,163,1.4181
Thành phố,Đông,Đầy đủ,Thiếu,Ổn định,122,1.2932
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Đang xuống,186,2.2878
